symbol,atomic_number,atomic_radius,atomic_volume,block,boiling_point,density,dipole_polarizability,electron_affinity,electronic_configuration,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,melting_point,name,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,jmol_color,cpk_color,proton_affinity,gas_basicity,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_bondi,vdw_radius_truhlar,vdw_radius_rt,vdw_radius_batsanov,vdw_radius_dreiding,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,molcas_gv_color,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,is_radioactive,cas,atomic_radius_rahm,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,wiki_valence,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy
Er,68,178.0,18.4,f,3136.0,9.06,150.0,,[Xe] 4f12 6s2,317.0,,,3.56,HEX,1802.0,Erbium,6,9,0.168,,229.0,189.0,165.0,1.24,,#00e675,#ff1493,,,316.4,,,175.0,,,,,,339.1,267.0,3.5,8.7e-07,#00e675,0.212261,283.0,2150.0,167.259,0.003,,False,7440-52-0,272.0,,,133.0,,1843.0,35,10.0,23.0,22.0,3.0,50.0,30.63606837,167.259,0.0,2.0,1770.0,1.24,2.0,0.0,0.0,12.0,6.0,2.0,14.0,3141.0,2.0,3.29,9066.0,1.89,22.7,2.0,50.0,1.24,4.7,173.0,14.0,3.29,6.0177,2.0,1.75,1.24,6.1077
Tm,69,177.0,18.1,f,2220.0,9.321,144.0,1.0290000000000001,[Xe] 4f13 6s2,232.0,,,3.54,HEX,1818.0,Thulium,6,9,0.16,,227.0,190.0,164.0,1.25,,#00d452,#ff1493,,,232.2,,,175.0,,,,,,337.4,267.0,0.52,1.7e-07,#00d452,0.2167244,279.0,2020.0,168.93422,2e-05,True,False,7440-30-4,271.0,,,131.0,,1879.0,37,15.0,22.0,20.0,3.0,50.0,30.09638585,168.93421999999998,0.0,2.0,1818.0,1.25,1.0,0.0,0.0,13.0,6.0,1.0,15.0,2223.0,1.0,2.42,9321.0,1.9,21.8,2.0,50.0,1.25,4.6,173.0,15.0,2.42,1.25,1.0,1.75,1.25,6.18431
Yb,70,194.0,24.8,f,1466.0,6.9654,139.0,-0.02,[Xe] 4f14 6s2,159.0,3.35,,5.49,FCC,1097.0,Ytterbium,6,9,0.145,,225.99999999999997,187.0,170.0,,,#00bf38,#ff1493,,,155.6,,,175.0,,,,,,335.5,279.0,3.2,8.2e-07,#00bf38,0.22119,280.0,1910.0,173.045,0.01,,False,7440-64-4,277.0,,,129.0,,1878.0,39,6.0,17.0,18.0,3.0,50.0,43.73967194,173.054,0.0,2.0,1092.0,1.1,0.0,0.0,0.0,14.0,6.0,0.0,16.0,1469.0,0.0,1.6,6570.0,1.87,20.9,2.0,50.0,1.1,1.3,194.0,16.0,1.6,1.06,0.0,1.75,1.1,6.25416
Lu,71,175.0,17.8,f,3668.0,9.8404,137.0,0.34,[Xe] 4f14 5d 6s2,414.0,,,3.51,HEX,1936.0,Lutetium,6,8,0.155,,224.00000000000003,187.0,162.0,1.0,6.455,#00ab24,#ff1493,992.0,970.6,427.6,,,175.0,,,,,,364.0,265.0,0.8,1.5e-07,#00ab24,0.22565,274.0,2020.0,174.9668,0.0001,,False,7439-94-3,270.0,,,131.0,131.0,1907.0,41,7.0,21.0,19.0,3.0,50.0,29.52403191,174.9668,1.0,2.0,1936.0,1.27,0.0,0.0,9.0,14.0,6.0,9.0,17.0,3675.0,1.0,4.43,9841.0,1.87,21.9,2.0,50.0,1.27,7.5,172.0,3.0,4.43,5.4258,1.0,1.75,1.27,5.425871
Hf,72,167.0,13.6,d,5470.0,13.31,103.0,0.013999999999999999,[Xe] 4f14 5d2 6s2,575.0,25.1,4.0,3.2,HEX,2503.0,Hafnium,6,8,0.146,23.0,223.0,175.0,152.0,1.3,6.83,#4dc2ff,#ff1493,,,618.4,,,155.0,,,,225.0,,314.1,252.99999999999997,3.0,7.000000000000001e-06,#4dc2ff,0.229987,263.0,1040.0,178.49,0.02,,False,7440-58-6,264.0,144.0,159.0,128.0,122.0,1923.0,45,6.0,50.0,50.0,4.0,0.0,22.26871119,178.49,2.0,2.0,2506.0,1.3,0.0,0.0,8.0,14.0,6.0,8.0,18.0,4876.0,2.0,6.44,13310.0,1.75,16.2,2.0,0.0,1.3,14.2,150.0,4.0,6.44,6.825,2.0,1.55,1.3,6.82507
Ta,73,149.0,10.9,d,5698.0,16.654,74.0,0.322,[Xe] 4f14 5d3 6s2,758.0,24.7,5.0,3.31,BCC,3269.0,Tantalum,6,8,0.14,57.5,222.00000000000003,170.0,146.0,1.5,7.93,#4da6ff,#ff1493,,,782.0,,,145.0,,,,220.00000000000003,,317.0,243.00000000000003,2.0,2e-06,#4da6ff,0.23458099999999998,253.0,887.0,180.94788,2e-05,,False,7440-25-7,258.0,134.0,146.0,126.0,119.0,1802.0,49,20.0,53.0,52.0,5.0,31.0,18.04672956,180.94788,3.0,2.0,3290.0,1.5,0.0,0.0,7.0,14.0,6.0,7.0,19.0,5731.0,3.0,8.1,16650.0,1.7,13.1,2.0,31.0,1.5,21.6,138.0,5.0,8.1,1.5,3.0,1.45,1.5,7.54957
W,74,141.0,9.53,d,5930.0,19.3,68.0,0.81626,[Xe] 4f14 5d4 6s2,824.0,35.0,6.0,3.16,BCC,3680.0,Tungsten,6,8,0.133,173.0,218.00000000000003,162.0,137.0,1.7,8.67,#2194d6,#ff1493,,,851.0,,,135.0,,,,210.0,,309.6,239.0,1.25,0.0001,#2194d6,0.2390504,257.0,757.0,183.84,0.01,,False,7440-33-7,252.99999999999997,130.0,139.0,120.0,115.0,1783.0,53,15.0,56.0,57.0,6.0,79.0,15.85873442,183.84,4.0,2.0,3695.0,2.36,0.0,0.0,6.0,14.0,6.0,6.0,20.0,5828.0,4.0,8.9,19250.0,1.62,11.1,2.0,79.0,2.36,31.4,146.0,6.0,8.9,2.36,4.0,1.35,2.36,7.86403
Re,75,137.0,8.85,d,5900.0,21.02,62.0,0.15,[Xe] 4f14 5d5 6s2,704.0,34.0,7.0,2.76,HEX,3453.0,Rhenium,6,8,0.138,48.0,216.0,151.0,131.0,1.9,9.46,#267dab,#ff1493,,,774.0,,,135.0,,,,204.99999999999997,,295.4,237.0,0.0007,4e-06,#267dab,0.24351639999999997,249.0,663.0,186.207,0.001,,False,7440-15-5,249.00000000000003,128.0,137.0,119.0,110.0,1925.0,57,3.0,59.0,58.0,7.0,15.0,14.71033423,186.207,5.0,2.0,3459.0,1.9,0.0,0.0,5.0,14.0,6.0,5.0,21.0,5869.0,5.0,8.03,21020.0,1.51,9.7,2.0,15.0,1.9,34.6,159.0,7.0,8.03,7.8335,5.0,1.35,1.9,7.83352
Os,76,135.0,8.43,d,5300.0,22.57,57.0,1.1,[Xe] 4f14 5d6 6s2,738.0,31.7,8.0,2.74,HEX,3327.0,Osmium,6,8,0.131,,216.0,144.0,129.0,2.2,9.78,#266696,#ff1493,,,787.0,,,130.0,,,,200.0,,312.0,235.0,0.0015,,#266696,0.24798449999999997,248.0,584.0,190.23,0.03,,False,7440-04-2,244.0,126.0,135.0,116.0,109.0,1804.0,61,3.0,62.0,60.0,8.0,106.0,13.98369767,190.23,6.0,2.0,3306.0,2.2,0.0,0.0,4.0,14.0,6.0,4.0,22.0,5285.0,4.0,8.17,22590.0,1.44,8.5,2.0,106.0,2.2,44.5,128.0,8.0,8.17,8.4382,4.0,1.3,2.2,8.43823
Ir,77,136.0,8.54,d,4403.0,22.42,54.0,1.5638,[Xe] 4f14 5d7 6s2,604.0,27.61,9.0,3.84,FCC,2683.0,Iridium,6,8,0.133,147.0,213.0,141.0,122.0,2.2,9.96,#175487,#ff1493,,,669.0,,,135.0,,,,200.0,,284.0,236.0,0.001,,#175487,0.25106,241.0,522.0,192.217,0.003,,False,7439-88-5,233.0,127.0,136.0,115.0,107.0,1804.0,65,7.0,65.0,62.0,9.0,151.0,14.14855047,192.217,7.0,2.0,2739.0,2.2,0.0,0.0,3.0,14.0,6.0,3.0,23.0,4701.0,3.0,6.94,22560.0,1.41,7.6,2.0,151.0,2.2,48.0,137.0,9.0,6.94,8.967,3.0,1.35,2.2,8.96702
Pt,78,139.0,9.1,d,4100.0,21.45,48.0,2.128,[Xe] 4f14 5d9 6s,470.0,21.76,10.0,3.92,FCC,2045.0,Platinum,6,8,0.133,71.6,213.0,136.0,123.0,2.2,10.16,#d0d0e0,#ff1493,,,565.7,,,135.0,,,,204.99999999999997,,275.4,239.0,0.005,,#d0d0e0,0.25690999999999997,229.0,470.0,195.084,0.009000000000000001,,False,7440-06-4,229.99999999999997,130.0,139.0,112.0,110.0,1735.0,69,4.0,68.0,64.0,10.0,205.0,15.36046351,195.084,9.0,1.0,2041.4,2.28,0.0,0.0,1.0,14.0,6.0,2.0,24.0,4098.0,2.0,5.84,21090.0,1.36,6.5,1.0,205.0,2.28,51.7,128.0,10.0,5.84,8.9588,2.0,1.35,2.28,8.95883
Au,79,146.0,10.2,d,3080.0,19.3,36.0,2.30863,[Xe] 4f14 5d10 6s,340.0,12.68,11.0,4.08,FCC,1337.58,Gold,6,8,0.129,318.0,214.0,136.0,124.0,2.4,11.33,#ffd123,#daa520,,,368.2,,,135.0,,,,210.0,,329.3,243.00000000000003,0.004,4e-06,#ffd123,0.26137,232.0,427.0,196.966569,4.9999999999999996e-06,True,False,7440-57-5,225.99999999999997,134.0,144.0,121.0,123.0,,73,3.0,70.0,66.0,11.0,223.0,16.94706362,196.96657,10.0,1.0,1337.33,2.54,0.0,0.0,0.0,14.0,6.0,1.0,25.0,3129.0,1.0,3.81,19300.0,1.36,5.8,1.0,223.0,2.54,57.2,144.0,1.0,3.81,9.2255,1.0,1.35,2.54,9.225553
Hg,80,157.0,14.8,d,629.73,13.546,33.91,,[Xe] 4f14 5d10 6s2,58.5,2.295,12.0,2.99,RHL,234.28,Mercury,6,8,0.138,8.3,223.0,132.0,133.0,1.9,10.44,#b8b8d0,#ff1493,,,61.38,,,150.0,,,,204.99999999999997,,270.5,252.99999999999997,0.085,2.9999999999999997e-05,#b8b8d0,0.16899999999999998,245.0,268.0,200.592,0.003,,False,7439-97-6,229.0,139.0,151.0,142.0,,,79,0.34,74.0,76.0,12.0,0.0,24.61174207,200.592,10.0,2.0,234.32,2.0,0.0,0.0,0.0,14.0,6.0,0.0,26.0,629.73,0.0,0.67,13534.0,1.32,5.36,2.0,0.0,2.0,7.8,149.0,2.0,0.67,10.4375,0.0,1.5,2.0,10.437504
Tl,81,171.0,17.2,p,1730.0,11.85,50.0,0.377,[Xe] 4f14 5d10 6s2 6p,162.4,4.31,13.0,3.46,HEX,576.6,Thallium,6,7,0.128,46.1,196.0,145.0,144.0,1.8,,#a6544d,#ff1493,,,182.2,,190.0,190.0,196.0,,,220.00000000000003,,434.69999999999993,259.0,0.85,1.9e-05,#a6544d,0.173447,247.0,509.0,204.38,,,False,7440-28-0,242.0,144.0,160.0,142.0,150.0,1861.0,85,2.0,78.0,81.0,13.0,19.0,28.64087656,204.38,10.0,2.0,577.0,1.62,0.0,1.0,0.0,14.0,6.0,5.0,27.0,1746.0,1.0,1.88,11850.0,1.45,7.55,3.0,19.0,1.62,12.5,148.0,3.0,1.88,1.62,1.0,1.9,1.62,6.108287
Pb,82,175.0,18.3,p,2013.0,11.35,47.0,0.35674316,[Xe] 4f14 5d10 6s2 6p2,177.8,4.77,14.0,4.95,FCC,600.65,Lead,6,7,0.159,35.3,202.0,146.0,144.0,1.8,10.97,#575961,#ff1493,,,195.2,,,,202.0,,,229.99999999999997,,429.7,274.0,14.0,2.9999999999999997e-05,#575961,0.17791099999999999,260.0,534.0,207.2,0.1,,False,7439-92-1,249.00000000000003,150.0,170.0,135.0,137.0,,91,3.0,82.0,82.0,14.0,35.0,30.34142301,207.2,10.0,2.0,600.61,2.33,0.0,2.0,0.0,14.0,6.0,4.0,28.0,2022.0,2.0,2.03,11340.0,1.46,6.995,4.0,35.0,2.33,18.1,147.0,4.0,2.03,7.4166,2.0,1.8,2.33,7.4166796
Bi,83,170.0,21.3,p,1883.0,9.747,48.0,0.942362,[Xe] 4f14 5d10 6s2 6p3,172.0,11.0,15.0,4.75,RHL,544.5,Bismuth,6,7,0.124,7.9,206.99999999999997,148.0,151.0,1.9,11.9,#9e4fb5,#ff1493,,,209.6,,148.0,160.0,,206.99999999999997,,229.99999999999997,,437.0,266.0,0.0085,2e-05,#9e4fb5,0.182377,254.0,513.0,208.9804,1e-05,True,False,7440-69-9,250.0,151.0,178.0,141.0,135.0,,97,4.0,87.0,92.0,15.0,91.0,35.48345908,208.9804,10.0,2.0,544.4,2.02,0.0,3.0,0.0,14.0,6.0,3.0,29.0,1837.0,3.0,2.18,9780.0,1.48,0.4,5.0,91.0,2.02,23.8,146.0,5.0,2.18,7.2855,3.0,1.6,2.02,7.285516
Po,84,176.0,22.7,p,1235.0,9.32,44.0,1.9,[Xe] 4f14 5d10 6s2 6p4,102.9,10.0,16.0,3.35,SC,527.0,Polonium,6,5,0.125,,197.0,140.0,145.0,2.0,13.0,#ab5c00,#ff1493,,,,,,190.0,,197.0,,,,470.9,259.0,2e-10,1.5e-14,#ab5c00,0.186842,,424.0,209.0,,,True,7440-08-6,250.0,,,135.0,129.0,1898.0,103,4.0,91.0,93.0,16.0,183.0,37.74040639,208.98243,10.0,2.0,527.0,2.0,0.0,4.0,0.0,14.0,6.0,2.0,30.0,1235.0,2.0,1.5,9196.0,1.4,6.8,6.0,183.0,2.0,31.0,,6.0,1.5,8.414,2.0,1.9,2.0,8.414
At,85,,,p,610.0,,42.0,2.8,[Xe] 4f14 5d10 6s2 6p5,,,17.0,,,575.0,Astatine,6,6,,,202.0,150.0,147.0,2.2,14.1,#754f45,#ff1493,,,,,,,,202.0,,,,475.0,250.99999999999997,,,#754f45,0.19130999999999998,,351.0,210.0,,,True,7440-68-8,247.00000000000003,,,138.0,138.0,1940.0,110,4.0,96.0,98.0,17.0,270.0,,209.98715,10.0,2.0,575.0,2.2,0.0,5.0,0.0,14.0,6.0,1.0,31.0,,1.0,,,1.5,6.0,7.0,270.0,2.2,40.0,,7.0,,9.3175,1.0,,2.2,9.31751
Rn,86,,,p,211.4,4.4,35.0,,[Xe] 4f14 5d10 6s2 6p6,18.1,,18.0,,FCC,202.0,Radon,6,2,0.094,0.0036,220.00000000000003,150.0,142.0,,15.4,#428296,#ffffff,,,,,,,,220.00000000000003,,,,476.49999999999994,243.00000000000003,4e-13,6e-16,#428296,0.195772,240.0,408.0,222.0,,,True,10043-92-2,243.00000000000003,,,145.0,133.0,1898.0,117,2.0,6.0,6.0,18.0,0.0,37887.79955,222.01757999999998,10.0,2.0,202.0,0.0,0.0,6.0,0.0,14.0,6.0,0.0,32.0,211.3,0.0,0.20199999999999999,9.73,1.5,5.3,8.0,0.0,0.0,26.0,145.0,0.0,0.20199999999999999,10.7485,0.0,,2.2,10.7485
Fr,87,,,s,950.0,,317.8,0.486,[Rn] 7s,,15.0,1.0,,BCC,300.0,Francium,7,3,,,348.0,260.0,223.0,0.7,,#420066,#ffffff,,,,,,,,348.0,,,,490.00000000000006,364.0,,,#420066,0.08731,,,223.0,,,True,7440-73-5,258.0,,,218.0,,1939.0,6,2.4,7.0,7.0,1.0,47.0,,223.01973999999998,0.0,1.0,,0.79,0.0,0.0,0.0,0.0,7.0,1.0,1.0,,1.0,,,2.6,47.85,1.0,47.0,0.79,15.0,,1.0,,4.0727,1.0,,0.7,4.0727409
Ra,88,,45.0,s,1413.0,5.5,246.0,0.1,[Rn] 7s2,113.0,9.6,2.0,,,973.0,Radium,7,4,0.12,,283.0,221.0,200.99999999999997,0.9,,#007d00,#ffffff,,,159.0,,,215.0,,283.0,,,,367.7,327.0,9e-07,8.9e-11,#007d00,0.09788999999999999,,,226.0,,,True,7440-14-4,292.0,,,173.0,159.0,1898.0,10,4.0,13.0,13.0,2.0,10.0,75.05812023,226.02541000000002,0.0,2.0,973.0,0.89,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2010.0,0.0,1.66,5000.0,2.21,38.3,2.0,10.0,0.89,19.0,,2.0,1.66,5.2784,0.0,2.15,0.9,5.278424
Ac,89,188.0,22.54,d,3470.0,,203.0,0.35,[Rn] 6d 7s2,292.9,10.5,3.0,5.31,FCC,1320.0,Actinium,7,10,,,247.00000000000003,215.0,186.0,1.1,,#70abfa,#ffffff,,,406.0,,,195.0,,,,,,347.8,308.0,5.5e-10,,#70abfa,0.10032999999999999,280.0,,227.0,,,True,7440-34-8,293.0,,,153.0,140.0,1899.0,14,12.0,48.0,33.0,3.0,34.0,37.43308629999999,227.02775,1.0,2.0,1323.0,1.1,0.0,0.0,9.0,0.0,7.0,9.0,3.0,3473.0,1.0,4.25,10070.0,2.15,32.1,2.0,34.0,1.1,80.0,,3.0,4.25,5.17,1.0,1.95,1.1,5.380226
Th,90,180.0,19.8,f,5060.0,11.78,217.0,,[Rn] 6d2 7s2,513.7,16.11,,5.08,FCC,2028.0,Thorium,7,10,0.113,,245.00000000000003,206.0,175.0,1.3,,#00baff,#ff1493,,,602.0,,,180.0,,,,240.0,,339.6,274.0,9.6,1e-06,#00baff,0.10277,293.0,,232.0377,0.0004,,True,7440-29-1,289.0,,,143.0,136.0,1828.0,16,54.0,47.0,34.0,3.0,34.0,32.86568321,232.0377,2.0,2.0,2023.0,1.3,0.0,0.0,8.0,0.0,7.0,8.0,4.0,5093.0,2.0,6.2,11724.0,2.06,32.1,2.0,34.0,1.3,16.6,180.0,4.0,6.2,1.3,2.0,1.8,1.3,6.3067
Pa,91,161.0,15.0,f,4300.0,15.37,154.0,,[Rn] 5f2 6d 7s2,481.2,16.7,,3.92,TET,2113.0,Protactinium,7,10,0.121,,243.00000000000003,200.0,169.0,1.5,,#00a1ff,#ffffff,,,563.0,,,180.0,,,,,,342.4,264.0,1.4e-06,5e-11,#00a1ff,0.12149000000000001,288.0,,231.03588,2e-05,True,True,7440-13-3,285.0,,,138.0,129.0,1917.0,18,20.0,46.0,35.0,3.0,34.0,24.96116063,231.03588,1.0,2.0,1845.0,1.5,12.0,0.0,9.0,2.0,7.0,21.0,5.0,4273.0,3.0,,15370.0,2.0,25.4,2.0,34.0,1.5,94.0,161.0,5.0,,5.89,3.0,1.8,1.5,5.89
U,92,138.0,12.5,f,4018.0,19.05,129.0,,[Rn] 5f3 6d 7s2,417.0,12.6,,2.85,ORC,1405.5,Uranium,7,10,0.115,27.5,241.0,196.0,170.0,1.7,,#008fff,#ff1493,995.2,973.2,533.0,,,175.0,,,,229.99999999999997,,339.5,252.0,2.7,0.0032,#008fff,0.13207,271.0,,238.02891,3.0000000000000004e-05,,True,7440-61-1,283.0,,,134.0,118.0,1789.0,20,17.0,45.0,36.0,3.0,34.0,20.7488474,238.02891,1.0,2.0,1408.0,1.38,11.0,0.0,9.0,3.0,7.0,20.0,6.0,4200.0,4.0,5.55,19050.0,1.96,24.9,2.0,34.0,1.38,16.8,139.0,6.0,5.55,1.38,4.0,1.75,1.38,6.19405
Np,93,130.0,21.1,f,4175.0,20.25,151.0,,[Rn] 5f4 6d 7s2,336.0,9.6,,4.72,ORC,913.0,Neptunium,7,10,,,239.0,190.0,171.0,1.3,,#0080ff,#ffffff,,,464.8,,,175.0,,,,,,342.4,252.0,,,#0080ff,0.14265,282.0,,237.0,,,True,7439-99-8,280.0,,,136.0,116.0,1940.0,22,20.0,44.0,37.0,3.0,34.0,19.24483901,237.04817000000003,1.0,2.0,917.0,1.36,10.0,0.0,9.0,4.0,7.0,19.0,7.0,4273.0,5.0,4.73,20450.0,1.9,24.8,2.0,34.0,1.36,18.0,140.0,7.0,4.73,6.2657,5.0,1.75,1.36,6.2655
Pu,94,151.0,,f,3505.0,19.84,132.0,,[Rn] 5f6 7s2,343.5,2.8,,,MCL,914.0,Plutonium,7,10,,,243.00000000000003,187.0,172.0,1.3,,#006bff,#ffffff,,,345.0,,,175.0,,,,,,342.4,252.0,,,#006bff,0.16137,281.0,,244.0,,,True,7440-07-5,278.0,,,135.0,,1940.0,24,20.0,43.0,38.0,3.0,34.0,20.44716406,244.06421,0.0,2.0,913.0,1.28,8.0,0.0,0.0,6.0,7.0,8.0,8.0,3503.0,6.0,3.6,19816.0,1.87,24.5,2.0,34.0,1.28,16.0,151.0,8.0,3.6,6.026,6.0,1.75,1.28,6.0258
Am,95,173.0,20.8,f,2880.0,13.67,131.0,,[Rn] 5f7 7s2,238.5,10.0,,,,1267.0,Americium,7,10,,,244.0,180.0,166.0,,,#545cf2,#ffffff,,,284.0,,,175.0,,,,,,338.1,,,,#545cf2,0.17194,283.0,,243.0,,,True,7440-35-9,276.0,,,135.0,,1945.0,26,25.0,42.0,39.0,3.0,34.0,29.51868508,243.06137999999999,0.0,2.0,1449.0,1.3,7.0,0.0,0.0,7.0,7.0,7.0,9.0,2284.0,7.0,2.73,13670.0,1.8,23.3,2.0,34.0,1.3,16.0,140.0,9.0,2.73,5.9738,7.0,1.75,1.3,5.9738
Cm,96,299.0,18.28,f,,13.51,144.0,,[Rn] 5f7 6d 7s2,,,,,,1340.0,Curium,7,10,,,245.00000000000003,169.0,166.0,,,#785ce3,#ffffff,,,386.0,,,,,,,,,332.6,,,,#785ce3,0.17439000000000002,305.0,,247.0,,,True,7440-51-9,276.0,,,136.0,,1944.0,28,25.0,41.0,40.0,3.0,34.0,30.35993609,247.07035,1.0,2.0,1618.0,1.3,7.0,0.0,9.0,7.0,7.0,16.0,10.0,3383.0,8.0,3.99,13510.0,1.69,23.0,2.0,34.0,1.3,16.0,,10.0,3.99,5.9914,8.0,,1.3,5.9914
Bk,97,297.0,,f,,13.25,125.0,,[Rn] 5f9 7s2,,,,,,,Berkelium,7,10,,,244.0,,168.0,,,#8a4fe3,#ffffff,,,310.0,,,,,,,,,333.9,,,,#8a4fe3,0.19315,340.0,,247.0,,,True,7440-40-6,,,,139.0,,1949.0,30,25.0,40.0,41.0,3.0,34.0,27.75120004,247.07031,0.0,2.0,1323.0,1.3,5.0,0.0,0.0,9.0,7.0,5.0,11.0,,5.0,,14780.0,,22.7,2.0,34.0,1.3,16.0,,11.0,,6.1979,5.0,,1.3,6.1978
Cf,98,295.0,,f,,15.1,122.0,,[Rn] 5f10 7s2,,,,,,900.0,Californium,7,10,,,245.00000000000003,,168.0,,,#a136d4,#ffffff,,,196.0,,,,,,,,,331.3,,,,#a136d4,0.20369,305.0,,251.0,,,True,7440-71-3,,,,140.0,,1950.0,32,20.0,39.0,42.0,3.0,34.0,27.60298332,251.07959,0.0,2.0,1173.0,1.3,4.0,0.0,0.0,10.0,7.0,4.0,12.0,,4.0,,15100.0,,20.5,2.0,34.0,1.3,17.0,,12.0,,6.2817,4.0,,1.3,6.2817
Es,99,292.0,,f,1130.0,,118.0,,[Rn] 5f11 7s2,,,,,,,Einsteinium,7,10,,,245.00000000000003,,165.0,,,#b31fd4,#ffffff,,,133.0,,,,,,,,,329.9,,,,#b31fd4,0.21427,270.0,,252.0,,,True,7429-92-7,,,,140.0,,1952.0,34,20.0,38.0,43.0,3.0,34.0,,252.083,0.0,2.0,1133.0,1.3,3.0,0.0,0.0,11.0,7.0,3.0,13.0,,4.0,,,,19.7,2.0,34.0,1.3,17.0,,13.0,,6.42,4.0,,1.3,6.3676
Fm,100,290.0,,f,,,113.0,,[Rn] 5f12 7s2,,,,,,1800.0,Fermium,7,10,,,245.00000000000003,,167.0,,,#b31fba,#ffffff,,,,,,,,,,,,328.6,,,,#b31fba,0.22485,,,257.0,,,True,7440-72-4,,,,,,1953.0,36,20.0,37.0,44.0,3.0,34.0,,257.09511000000003,0.0,2.0,1800.0,1.3,2.0,0.0,0.0,12.0,7.0,2.0,14.0,,2.0,,,,23.8,2.0,34.0,1.3,17.0,,14.0,,6.5,2.0,,1.3,6.5
Md,101,287.0,,f,,,109.0,,[Rn] 5f13 7s2,,,,,,1100.0,Mendelevium,7,10,,,246.0,,173.0,,,#b30da6,#ffffff,,,,,,,,,,,,327.4,,,,#b30da6,0.23542,,,258.0,,,True,7440-11-1,,,,139.0,,1955.0,38,20.0,36.0,45.0,3.0,34.0,,258.09843,0.0,2.0,1100.0,1.3,1.0,0.0,0.0,13.0,7.0,1.0,15.0,,1.0,,,,18.2,2.0,34.0,1.3,17.0,,15.0,,6.58,1.0,,1.3,6.58
No,102,285.0,,f,,,110.0,,[Rn] 5f14 7s2,,,,,,1100.0,Nobelium,7,10,,,246.0,,176.0,,,#bd0d87,#ffffff,,,,,,,,,,,,324.8,,,,#bd0d87,0.24600000000000002,,,259.0,,,True,10028-14-5,,,,,,1957.0,40,6.0,35.0,46.0,3.0,34.0,,259.101,0.0,2.0,1100.0,1.3,0.0,0.0,0.0,14.0,7.0,0.0,16.0,,0.0,,,,16.4,2.0,34.0,1.3,18.0,,2.0,,6.65,0.0,,1.3,6.65
Lr,103,282.0,,f,,,320.0,,[Rn] 5f14 6d 7s2,,,,,,,Lawrencium,7,8,,,246.0,,161.0,,,#c70066,#ffffff,,,,,,,,,,,,323.6,,,,#c70066,0.24844000000000002,,,262.0,,,True,22537-19-5,,,,141.0,,1961.0,42,20.0,34.0,47.0,3.0,,,,0.0,2.0,1900.0,,,1.0,,14.0,7.0,,,,,,,,,3.0,,,,,,,,,,1.3,4.9
Rf,104,,,d,,,112.0,,[Rn] 5f14 6d2 7s2,,,4.0,,,,Rutherfordium,7,8,,,,,157.0,,,#cc0059,,,,,,,,,,,,,,,,,,,,,267.0,,,True,53850-36-5,,,,140.0,131.0,1969.0,46,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01
Db,105,,,d,,,42.0,,[Rn] 5f14 6d3 7s2,,,5.0,,,,Dubnium,7,8,,,,,149.0,,,#d1004f,,,,,,,,,,,,,,,,,,,,,268.0,,,True,53850-35-4,,,,136.0,126.0,1970.0,50,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
Sg,106,,,d,,,40.0,,[Rn] 5f14 6d4 7s2,,,6.0,,,,Seaborgium,7,8,,,,,143.0,,,#d90045,,,,,,,,,,,,,,,,,,,,,271.0,,,True,54038-81-2,,,,128.0,121.0,1974.0,54,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
Bh,107,,,d,,,38.0,,[Rn] 5f14 6d5 7s2,,,7.0,,,,Bohrium,7,8,,,,,141.0,,,#e00038,,,,,,,,,,,,,,,,,,,,,274.0,,,True,54037-14-8,,,,128.0,119.0,1976.0,58,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
Hs,108,,,d,,,36.0,,[Rn] 5f14 6d6 7s2,,,8.0,,,,Hassium,7,8,,,,,134.0,,,#e6002e,,,,,,,,,,,,,,,,,,,,,269.0,,,True,54037-57-9,,,,125.0,118.0,1984.0,62,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
